rollno,quiz1,quiz2,midsem,endsem,total-marks,grades
23B203,10,1,15,41,67,AB
23B282,8,7,29,26,70,AB
23B296,7,10,14,48,79,AB
23B409,6,6,24,48,84,AB
23B431,10,3,12,46,71,AB
23B434,5,5,27,37,74,AB
23B702,1,8,14,47,70,AB
23B748,4,2,17,46,69,AB
23B794,3,9,20,41,73,AB
23B837,1,10,15,49,75,AB
23B931,2,7,26,35,70,AB
23B932,4,9,23,42,78,AB
23B934,10,2,26,38,76,AB
23B938,6,4,19,44,73,AB
23B040,10,6,1,42,59,BB
23B065,9,8,18,30,65,BB
23B071,1,7,10,30,48,BB
23B166,9,6,8,36,59,BB
23B185,7,2,1,36,46,BB
23B229,3,9,21,22,55,BB
23B231,9,9,17,12,47,BB
23B273,1,4,29,19,53,BB
23B308,6,2,21,21,50,BB
23B457,4,9,15,18,46,BB
23B488,6,8,3,36,53,BB
23B507,4,5,13,28,50,BB
23B582,2,3,17,25,47,BB
23B666,10,7,2,45,64,BB
23B719,7,6,29,12,54,BB
23B858,6,10,9,37,62,BB
23B980,8,6,14,22,50,BB
23B151,3,4,16,13,36,CC
23B239,8,3,25,7,43,CC
23B253,4,8,21,5,38,CC
23B407,9,2,20,14,45,CC
23B464,8,7,10,11,36,CC
23B517,9,10,15,3,37,CC
23B627,8,7,19,4,38,CC
23B690,9,1,4,28,42,CC
23B706,10,9,12,14,45,CC
23B774,6,2,16,21,45,CC
23B043,6,1,3,12,22,F
23B266,8,4,6,16,34,F
23B315,2,4,6,13,25,F
23B353,10,5,9,6,30,F
23B563,8,3,5,11,27,F
23B718,7,3,12,5,27,F
23B854,6,2,7,18,33,F
23B977,4,10,13,8,35,F
