rollno,quiz1,quiz2,midsem,endsem,total-marks,grades
24B216,7,8,25,47,87,AA
24B390,10,8,28,48,94,AA
24B981,6,5,27,50,88,AA
24B015,7,10,12,41,70,AB
24B052,4,7,15,50,76,AB
24B065,9,6,30,24,69,AB
24B071,3,9,23,44,79,AB
24B079,9,4,22,35,70,AB
24B082,8,3,12,47,70,AB
24B106,6,10,27,26,69,AB
24B130,2,3,25,43,73,AB
24B157,10,9,21,31,71,AB
24B172,2,3,22,47,74,AB
24B183,9,7,17,35,68,AB
24B192,4,8,19,50,81,AB
24B207,7,7,26,28,68,AB
24B219,2,6,12,48,68,AB
24B232,7,7,26,43,83,AB
24B233,4,2,28,43,77,AB
24B261,10,9,6,46,71,AB
24B284,3,9,25,31,68,AB
24B306,8,5,27,38,78,AB
24B323,10,4,3,49,66,AB
24B358,8,9,14,45,76,AB
24B366,7,6,30,37,80,AB
24B367,1,6,30,48,85,AB
24B409,6,6,25,45,82,AB
24B437,2,8,10,46,66,AB
24B479,2,2,29,35,68,AB
24B498,6,8,8,46,68,AB
24B510,10,5,25,32,72,AB
24B517,10,8,18,40,76,AB
24B519,8,2,27,46,83,AB
24B522,7,10,14,38,69,AB
24B535,3,8,27,46,84,AB
24B573,8,2,22,38,70,AB
24B593,5,5,9,48,67,AB
24B608,7,10,7,46,70,AB
24B611,6,7,28,39,80,AB
24B628,4,8,25,39,76,AB
24B630,1,2,26,44,73,AB
24B645,5,9,17,49,80,AB
24B646,6,10,24,28,68,AB
24B677,4,3,26,34,67,AB
24B713,10,6,14,37,67,AB
24B730,7,3,9,49,68,AB
24B734,7,6,20,43,76,AB
24B747,9,1,27,39,76,AB
24B754,10,9,18,43,80,AB
24B797,7,6,19,40,72,AB
24B800,5,7,24,39,75,AB
24B816,4,10,22,43,79,AB
24B829,4,8,26,36,74,AB
24B840,7,7,16,49,79,AB
24B847,4,9,27,29,69,AB
24B858,6,7,27,33,73,AB
24B870,7,6,23,39,75,AB
24B879,1,6,28,50,85,AB
24B880,6,10,21,33,70,AB
24B883,10,3,8,45,66,AB
24B952,8,3,13,49,73,AB
24B960,1,8,29,45,83,AB
24B977,10,1,25,40,76,AB
24B017,1,2,27,29,59,BB
24B018,8,1,28,19,56,BB
24B022,10,5,13,31,59,BB
24B023,3,2,15,40,60,BB
24B041,5,3,24,19,51,BB
24B043,5,1,9,31,46,BB
24B049,4,2,3,39,48,BB
24B064,6,9,9,28,52,BB
24B066,7,3,15,31,56,BB
24B075,3,7,8,31,49,BB
24B076,5,5,17,29,56,BB
24B084,1,5,5,47,58,BB
24B094,1,1,5,49,56,BB
24B100,8,8,27,15,58,BB
24B104,4,4,22,33,63,BB
24B113,5,7,16,35,63,BB
24B121,6,1,16,38,61,BB
24B128,10,4,30,19,63,BB
24B129,9,7,24,22,62,BB
24B139,1,2,24,36,63,BB
24B140,8,10,21,17,56,BB
24B158,4,8,15,27,54,BB
24B163,10,5,2,48,65,BB
24B166,3,2,14,32,51,BB
24B174,6,10,4,26,46,BB
24B175,4,7,29,20,60,BB
24B187,7,10,5,31,53,BB
24B190,10,7,16,19,52,BB
24B194,2,8,27,14,51,BB
24B201,2,5,29,22,58,BB
24B206,1,4,27,29,61,BB
24B210,6,3,11,44,64,BB
24B212,7,3,22,19,51,BB
24B220,8,3,13,38,62,BB
24B221,6,2,12,34,54,BB
24B224,6,2,4,39,51,BB
24B249,4,6,1,41,52,BB
24B250,7,7,21,15,50,BB
24B256,9,9,16,16,50,BB
24B271,3,4,19,29,55,BB
24B285,10,1,5,44,60,BB
24B288,7,4,1,40,52,BB
24B317,9,8,14,16,47,BB
24B341,6,7,6,46,65,BB
24B343,7,7,8,24,46,BB
24B348,2,1,9,42,54,BB
24B352,10,4,26,11,51,BB
24B371,7,2,26,25,60,BB
24B381,4,4,21,22,51,BB
24B382,1,1,23,38,63,BB
24B391,7,3,27,25,62,BB
24B398,2,3,16,34,55,BB
24B400,8,7,19,30,64,BB
24B403,6,2,12,35,55,BB
24B416,5,8,1,40,54,BB
24B418,8,10,24,11,53,BB
24B424,3,6,25,23,57,BB
24B427,5,9,14,32,60,BB
24B429,5,2,13,34,54,BB
24B433,9,7,2,29,47,BB
24B436,8,5,4,39,56,BB
24B442,6,8,26,12,52,BB
24B444,10,10,19,13,52,BB
24B450,8,3,16,27,54,BB
24B464,3,10,18,21,52,BB
24B485,7,1,18,33,59,BB
24B496,2,2,3,48,55,BB
24B524,3,2,26,30,61,BB
24B537,7,1,19,34,61,BB
24B550,6,6,27,15,54,BB
24B572,7,2,15,33,57,BB
24B574,3,6,7,45,61,BB
24B576,8,6,14,29,57,BB
24B582,10,6,16,31,63,BB
24B584,7,4,27,19,57,BB
24B617,9,4,30,12,55,BB
24B626,10,7,16,24,57,BB
24B637,10,10,4,35,59,BB
24B647,6,10,13,22,51,BB
24B652,10,5,21,21,57,BB
24B658,7,4,11,25,47,BB
24B694,3,3,21,33,60,BB
24B698,6,1,7,35,49,BB
24B729,6,2,2,45,55,BB
24B735,8,1,21,29,59,BB
24B738,3,7,26,13,49,BB
24B765,5,4,9,46,64,BB
24B766,6,3,20,33,62,BB
24B787,10,4,28,13,55,BB
24B788,2,2,25,32,61,BB
24B794,3,7,15,28,53,BB
24B807,7,10,2,38,57,BB
24B810,6,9,13,33,61,BB
24B811,5,9,2,45,61,BB
24B820,10,9,19,15,53,BB
24B833,1,10,25,21,57,BB
24B841,1,3,29,31,64,BB
24B844,3,6,17,30,56,BB
24B846,9,3,27,25,64,BB
24B851,4,2,2,38,46,BB
24B890,3,8,8,45,64,BB
24B894,3,8,11,37,59,BB
24B900,2,1,10,36,49,BB
24B915,10,8,3,37,58,BB
24B916,2,10,20,20,52,BB
24B924,9,4,4,29,46,BB
24B927,5,3,6,38,52,BB
24B939,4,3,26,28,61,BB
24B940,7,7,26,9,49,BB
24B942,10,7,20,28,65,BB
24B947,7,1,28,26,62,BB
24B948,5,5,2,46,58,BB
24B967,5,1,19,37,62,BB
24B987,7,5,24,11,47,BB
24B994,6,4,23,24,57,BB
24B014,2,1,2,34,39,CC
24B016,2,7,24,4,37,CC
24B020,2,10,19,7,38,CC
24B026,8,10,7,17,42,CC
24B046,2,2,23,10,37,CC
24B047,5,5,23,4,37,CC
24B156,1,5,6,24,36,CC
24B180,6,3,26,6,41,CC
24B234,1,4,14,22,41,CC
24B246,4,8,1,31,44,CC
24B260,4,1,25,9,39,CC
24B302,3,1,17,19,40,CC
24B308,9,10,6,13,38,CC
24B314,2,2,15,18,37,CC
24B318,2,8,22,6,38,CC
24B373,2,4,25,10,41,CC
24B397,9,1,8,26,44,CC
24B423,9,6,22,6,43,CC
24B472,10,3,12,20,45,CC
24B483,7,7,22,6,42,CC
24B486,7,6,24,3,40,CC
24B506,7,10,11,13,41,CC
24B542,5,1,17,20,43,CC
24B544,2,3,15,23,43,CC
24B561,4,1,17,22,44,CC
24B598,5,9,9,15,38,CC
24B616,10,4,11,14,39,CC
24B618,10,1,10,23,44,CC
24B640,10,1,7,18,36,CC
24B642,2,2,29,9,42,CC
24B657,5,2,13,18,38,CC
24B667,9,4,21,6,40,CC
24B675,10,4,8,16,38,CC
24B680,9,2,16,12,39,CC
24B682,9,3,3,28,43,CC
24B689,1,10,2,32,45,CC
24B691,3,7,4,31,45,CC
24B710,2,3,2,38,45,CC
24B737,9,3,2,31,45,CC
24B749,4,1,24,15,44,CC
24B773,3,9,17,14,43,CC
24B803,5,2,10,24,41,CC
24B806,3,3,10,27,43,CC
24B875,2,8,6,27,43,CC
24B877,10,3,9,16,38,CC
24B926,7,1,16,15,39,CC
24B961,8,6,20,2,36,CC
24B990,2,6,11,21,40,CC
24B027,3,2,19,5,29,F
24B044,6,5,16,8,35,F
24B063,5,2,20,1,28,F
24B085,5,2,6,5,18,F
24B099,1,4,10,18,33,F
24B115,6,7,2,10,25,F
24B136,6,1,1,14,22,F
24B228,7,2,7,8,24,F
24B248,2,2,2,15,21,F
24B258,2,5,11,11,29,F
