rollno,quiz1,quiz2,midsem,endsem,total-marks
24B041,5,3,24,19,51
24B015,7,10,12,41,70
23B488,6,8,3,36,53
23B457,4,9,15,18,46
23B748,4,2,17,46,69
24B847,4,9,27,29,69
23B702,1,8,14,47,70
23B931,2,7,26,35,70
24B099,1,4,10,18,33
24B094,1,1,5,49,56
23B296,7,10,14,48,79
23B253,4,8,21,5,38
23B315,2,4,6,13,25
23B409,6,6,24,48,84
23B666,10,7,2,45,64
24B765,5,4,9,46,64
24B675,10,4,8,16,38
23B980,8,6,14,22,50
23B229,3,9,21,22,55
23B858,6,10,9,37,62
24B735,8,1,21,29,59
23B308,6,2,21,21,50
23B431,10,3,12,46,71
23B517,9,10,15,3,37
23B185,7,2,1,36,46
24B129,9,7,24,22,62
23B065,9,8,18,30,65
23B690,9,1,4,28,42
23B718,7,3,12,5,27
24B793,4,6,10,3,23
23B266,8,4,6,16,34
24B264,8,1,5,11,25
23B582,2,3,17,25,47
24B618,10,1,10,23,44
24B285,10,1,5,44,60
24B288,7,4,1,40,52
24B694,3,3,21,33,60
23B977,4,10,13,8,35
24B044,6,5,16,8,35
23B934,10,2,26,38,76
23B434,5,5,27,37,74
23B706,10,9,12,14,45
23B043,6,1,3,12,22
23B719,7,6,29,12,54
24B927,5,3,6,38,52
23B282,8,7,29,26,70
24B496,2,2,3,48,55
24B212,7,3,22,19,51
24B640,10,1,7,18,36
23B203,10,1,15,41,67
24B894,3,8,11,37,59
24B306,8,5,27,38,78
24B657,5,2,13,18,38
24B797,7,6,19,40,72
24B915,10,8,3,37,58
24B026,8,10,7,17,42
23B627,8,7,19,4,38
24B628,4,8,25,39,76
24B065,9,6,30,24,69
24B800,5,7,24,39,75
24B076,5,5,17,29,56
23B507,4,5,13,28,50
23B837,1,10,15,49,75
24B404,5,7,14,9,35
23B774,6,2,16,21,45
23B151,3,4,16,13,36
23B854,6,2,7,18,33
24B582,10,6,16,31,63
24B421,6,3,12,3,24
24B136,6,1,1,14,22
24B219,2,6,12,48,68
24B774,3,5,1,13,22
24B079,9,4,22,35,70
23B407,9,2,20,14,45
23B239,8,3,25,7,43
24B343,7,7,8,24,46
24B852,2,2,22,1,27
24B899,2,3,5,19,29
24B598,5,9,9,15,38
23B932,4,9,23,42,78
24B924,9,4,4,29,46
24B075,3,7,8,31,49
24B875,2,8,6,27,43
24B047,5,5,23,4,37
24B939,4,3,26,28,61
24B233,4,2,28,43,77
23B166,9,6,8,36,59
